filepath,xmin,ymin,xmax,ymax
N1.xml,1093,645,1396,727
N100.xml,134,312,301,350
N101.xml,31,128,139,161
N102.xml,164,216,316,243
N103.xml,813,665,1067,724
N104.xml,66,166,154,197
N105.xml,360,174,434,195
N106.xml,137,249,262,290
N107.xml,207,174,356,287
N108.xml,184,220,342,257
N109.xml,148,250,239,320
N11.xml,131,130,187,144
N110.xml,183,211,249,227
N111.xml,80,364,239,402
N112.xml,179,256,347,290
N113.xml,39,129,108,157
N114.xml,15,33,200,126
N116.xml,157,226,316,278
N117.xml,120,161,249,202
N118.xml,532,636,852,706
N119.xml,180,216,559,314
N12.xml,976,669,1284,754
N120.xml,647,332,736,387
N121.xml,311,324,506,370
N122.xml,342,243,494,288
N123.xml,11,78,246,165
N124.xml,165,276,328,324
N126.xml,149,269,399,327
N127.xml,24,209,142,245
N128.xml,58,198,221,271
N129.xml,301,351,504,402
N130.xml,419,173,513,213
N131.xml,198,107,349,143
N132.xml,111,133,320,286
N133.xml,795,751,1095,840
N134.xml,230,188,365,219
N135.xml,157,197,341,247
N136.xml,787,473,910,513
N137.xml,401,456,593,493
N138.xml,36,64,465,168
N139.xml,341,954,607,1011
N14.xml,1058,660,1351,756
N140.xml,346,197,423,221
N141.xml,150,255,348,296
N142.xml,66,234,174,259
N143.xml,115,144,524,296
N144.xml,39,201,177,275
N145.xml,233,88,432,151
N147.xml,424,548,613,591
N148.xml,244,240,369,293
N149.xml,186,116,324,148
N15.xml,582,622,853,691
N150.xml,172,97,372,143
N151.xml,144,216,277,252
N152.xml,265,247,725,347
N153.xml,133,352,279,385
N154.xml,106,157,245,196
N155.xml,145,167,313,201
N156.xml,49,230,106,249
N158.xml,122,268,224,292
N16.xml,887,625,1173,696
N160.xml,153,196,251,217
N162.xml,147,169,336,209
N163.xml,230,203,316,231
N164.xml,248,121,421,174
N165.xml,186,290,374,335
N166.xml,809,246,1034,295
N167.xml,345,242,848,416
N168.xml,271,514,474,561
N169.xml,167,208,413,263
N17.xml,88,507,216,556
N170.xml,299,337,442,386
N171.xml,13,137,444,270
N172.xml,147,133,370,184
N173.xml,80,150,335,243
N174.xml,315,442,665,531
N175.xml,183,205,250,229
N176.xml,195,320,383,358
N177.xml,331,263,538,317
N178.xml,210,289,335,351
N179.xml,203,217,297,240
N18.xml,373,366,528,408
N181.xml,361,381,499,432
N183.xml,216,155,343,190
N184.xml,229,204,1391,660
N185.xml,321,420,559,484
N186.xml,464,286,561,344
N187.xml,572,461,839,535
N188.xml,587,760,711,832
N189.xml,178,121,381,181
N19.xml,99,367,216,423
N190.xml,896,814,1558,969
N191.xml,317,319,568,397
N192.xml,543,390,769,461
N193.xml,274,2,502,59
N195.xml,186,137,367,232
N196.xml,119,84,220,111
N197.xml,120,103,184,130
N198.xml,214,138,335,169
N199.xml,45,206,112,255
N2.xml,1804,1734,2493,1882
N20.xml,498,729,796,814
N200.xml,196,227,442,293
N201.xml,157,193,290,229
N202.xml,157,260,329,296
N203.xml,765,821,1258,905
N204.xml,94,307,206,334
N205.xml,322,169,479,203
N206.xml,121,120,215,147
N207.xml,213,280,339,307
N208.xml,199,203,274,221
N209.xml,145,200,319,244
N21.xml,244,221,403,258
N210.xml,143,210,337,254
N211.xml,74,149,160,175
N212.xml,159,115,353,173
N213.xml,131,129,209,153
N214.xml,167,189,277,226
N215.xml,85,390,258,446
N216.xml,322,300,682,371
N217.xml,404,429,585,468
N218.xml,176,212,301,238
N219.xml,1,92,300,154
N22.xml,493,885,858,967
N220.xml,182,238,349,273
N221.xml,104,153,209,182
N222.xml,127,122,183,156
N223.xml,69,79,585,183
N224.xml,164,223,272,247
N225.xml,775,965,1142,1101
N226.xml,142,253,343,304
N227.xml,626,280,768,359
N229.xml,358,294,1031,540
N23.xml,107,264,201,288
N230.xml,271,332,484,384
N231.xml,581,273,700,319
N232.xml,286,216,451,258
N233.xml,99,20,223,50
N234.xml,224,158,307,183
N235.xml,44,128,656,391
N236.xml,313,111,380,141
N237.xml,121,163,243,198
N238.xml,165,129,341,170
N239.xml,106,238,263,276
N24.xml,151,193,280,224
N240.xml,164,99,285,137
N241.xml,251,308,542,385
N242.xml,202,190,386,227
N244.xml,335,313,452,343
N245.xml,192,279,364,319
N246.xml,23,261,160,321
N247.xml,641,518,886,578
N248.xml,288,248,429,281
N25.xml,132,169,235,193
N27.xml,696,546,1061,677
N28.xml,738,654,1009,722
N3.xml,73,381,260,462
N30.xml,928,543,1219,606
N31.xml,256,233,381,261
N32.xml,360,171,500,206
N33.xml,856,665,1218,751
N34.xml,576,487,902,596
N35.xml,97,338,229,378
N36.xml,392,161,517,213
N37.xml,77,231,200,290
N38.xml,397,590,645,641
N4.xml,1326,1464,1830,1607
N40.xml,328,208,580,254
N42.xml,163,253,373,327
N43.xml,142,281,298,327
N44.xml,113,282,257,322
N45.xml,107,147,256,180
N46.xml,454,109,797,234
N47.xml,161,212,313,259
N48.xml,156,259,335,303
N49.xml,196,135,352,173
N5.xml,938,709,1173,762
N50.xml,101,223,397,291
N51.xml,383,212,491,248
N52.xml,234,254,422,294
N53.xml,217,147,428,188
N54.xml,189,162,299,188
N56.xml,302,265,486,303
N57.xml,211,161,406,202
N58.xml,221,190,430,231
N59.xml,1238,1012,2468,1269
N6.xml,858,611,1122,676
N61.xml,158,252,350,297
N62.xml,289,188,421,232
N63.xml,297,174,422,218
N64.xml,19,249,94,314
N65.xml,1024,611,1273,680
N66.xml,163,247,320,280
N67.xml,164,162,336,195
N68.xml,319,262,479,295
N69.xml,637,464,840,549
N7.xml,1149,649,1358,702
N70.xml,186,376,395,430
N72.xml,186,177,325,212
N73.xml,124,102,209,130
N74.xml,161,210,366,250
N75.xml,466,680,740,737
N77.xml,361,190,566,297
N78.xml,146,160,302,196
N79.xml,113,288,277,347
N8.xml,788,1675,1525,1851
N80.xml,248,116,372,144
N81.xml,66,302,174,332
N82.xml,456,722,651,778
N84.xml,235,319,349,352
N85.xml,163,357,302,427
N86.xml,448,273,638,338
N88.xml,208,89,370,173
N89.xml,150,217,378,269
N9.xml,142,55,441,167
N90.xml,53,206,185,232
N91.xml,239,187,347,211
N92.xml,113,209,420,260
N93.xml,385,293,746,434
N94.xml,63,234,243,274
N95.xml,23,173,408,391
N96.xml,137,141,352,186
N97.xml,175,228,290,255
N98.xml,563,207,675,238
N99.xml,158,129,389,193
