               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1099,            0.024316,                   0,           0.0082198,            0.048673,           0.0019285,          0.00030667,            0.094499,            0.019511,                   0,             0.00076,             0.00076,             0.09316
                   1,            0.086698,            0.021319,                   0,             0.48272,             0.20796,             0.17675,            0.044123,            0.074803,             0.01742,                   0,           0.0015297,           0.0015297,             0.08623
                   2,            0.069133,             0.02008,                   0,             0.53845,             0.34513,             0.29258,            0.073795,            0.063427,            0.015701,                   0,            0.002298,            0.002298,            0.079298
                   3,            0.060673,            0.017941,                   0,             0.51911,             0.38938,             0.35978,              0.1115,            0.058157,            0.014532,                   0,           0.0030639,           0.0030639,            0.072364
                   4,            0.056932,            0.016575,                   0,             0.65365,              0.4115,             0.43305,             0.16607,            0.055145,            0.013517,                   0,           0.0038264,           0.0038264,            0.065426
                   5,            0.054053,            0.015787,                   0,             0.73734,             0.45575,             0.51797,             0.21841,            0.050775,            0.012601,                   0,           0.0045845,           0.0045845,            0.058484
                   6,              0.0527,            0.014459,                   0,             0.57283,             0.50442,             0.47426,             0.19227,            0.050894,            0.011501,                   0,           0.0053371,           0.0053371,            0.051537
                   7,            0.051603,            0.013437,                   0,             0.79002,             0.56601,             0.61532,             0.29449,            0.045965,            0.010937,                   0,           0.0060833,           0.0060833,            0.044583
                   8,            0.051353,            0.011995,                   0,             0.62774,             0.58407,             0.58481,             0.19393,            0.054166,           0.0094851,                   0,           0.0068222,           0.0068222,            0.037622
                   9,            0.051137,            0.011656,                   0,              0.6627,             0.51327,              0.5671,             0.21659,            0.050878,           0.0092389,                   0,           0.0075526,           0.0075526,            0.030653
                  10,            0.047832,            0.010766,                   0,             0.79801,             0.57965,             0.67167,             0.31824,            0.046795,           0.0088272,                   0,           0.0082737,           0.0082737,            0.023674
                  11,            0.047008,           0.0097215,                   0,             0.83347,             0.57965,             0.67242,             0.32748,            0.044648,           0.0088221,                   0,           0.0089844,           0.0089844,            0.016684
                  12,            0.048228,           0.0099437,                   0,             0.78771,             0.65929,              0.7042,             0.23923,            0.046691,           0.0079773,                   0,            0.009684,            0.009684,            0.009684
                  13,            0.045394,            0.009694,                   0,             0.71408,             0.56637,             0.65566,             0.27841,            0.047243,           0.0078832,                   0,            0.009684,            0.009684,            0.009684
                  14,            0.044816,           0.0092179,                   0,             0.72416,             0.70354,             0.73793,             0.28169,              0.0464,            0.008012,                   0,           0.0096299,           0.0096299,           0.0096299
                  15,            0.041815,           0.0093746,                   0,              0.7401,             0.72566,             0.73258,             0.33636,            0.042057,           0.0076202,                   0,           0.0095717,           0.0095717,           0.0095717
                  16,            0.040471,           0.0083839,                   0,             0.82422,             0.76767,             0.80262,             0.36858,            0.043795,           0.0069321,                   0,           0.0095095,           0.0095095,           0.0095095
                  17,            0.039564,           0.0082187,                   0,             0.76476,             0.79118,             0.80243,             0.35225,            0.041609,           0.0068101,                   0,           0.0094434,           0.0094434,           0.0094434
                  18,            0.039877,            0.008331,                   0,             0.81169,             0.78319,             0.80249,             0.38026,            0.039794,           0.0071792,                   0,           0.0093733,           0.0093733,           0.0093733
                  19,            0.037775,           0.0080005,                   0,             0.82826,             0.72566,             0.79563,             0.33886,             0.04236,           0.0069672,                   0,           0.0092995,           0.0092995,           0.0092995
                  20,            0.036125,           0.0075053,                   0,             0.85478,             0.70354,             0.77405,             0.34595,            0.040026,           0.0068405,                   0,           0.0092219,           0.0092219,           0.0092219
                  21,            0.037927,           0.0077565,                   0,             0.84265,             0.76106,             0.82245,              0.4023,            0.039245,            0.006942,                   0,           0.0091406,           0.0091406,           0.0091406
                  22,            0.036854,           0.0074428,                   0,             0.84563,             0.73894,             0.81328,             0.33766,            0.040564,           0.0067701,                   0,           0.0090557,           0.0090557,           0.0090557
                  23,             0.03581,           0.0077594,                   0,             0.82288,             0.76106,             0.79345,             0.34194,            0.039843,           0.0067726,                   0,           0.0089673,           0.0089673,           0.0089673
                  24,            0.035512,           0.0076632,                   0,             0.82766,             0.83186,             0.82025,             0.40539,            0.037997,           0.0065496,                   0,           0.0088755,           0.0088755,           0.0088755
                  25,            0.034001,           0.0075351,                   0,             0.84581,             0.84949,              0.8526,             0.39326,            0.039124,           0.0065819,                   0,           0.0087804,           0.0087804,           0.0087804
                  26,            0.033558,           0.0077936,                   0,             0.88631,             0.80088,             0.84032,             0.41182,            0.038763,           0.0065853,                   0,            0.008682,            0.008682,            0.008682
                  27,            0.033688,           0.0072465,                   0,             0.84642,             0.83186,             0.85408,             0.38426,            0.039697,           0.0062373,                   0,           0.0085805,           0.0085805,           0.0085805
                  28,            0.032841,           0.0071054,                   0,             0.88562,             0.82301,             0.85235,             0.42864,            0.037592,           0.0062793,                   0,           0.0084759,           0.0084759,           0.0084759
                  29,             0.03306,           0.0069425,                   0,             0.86239,             0.75221,             0.82289,             0.39412,            0.038493,           0.0064648,                   0,           0.0083684,           0.0083684,           0.0083684
